,story_id,premises,premises-FOL,conclusion,conclusion-FOL,label,example_id,gpt Translations,qwen Translations
0,324,"No professional soccer players play professional basketball.
All professional soccer defenders are professional soccer players.
All professional centerbacks are professional soccer defenders.
Some athletes are professional center-backs.
Stephen Curry plays professional basketball.","∀x ((Professional(x) ∧ SoccerPlayer(x)) → ¬Play(x, professionalBasketball))
∀x ((Professional(x) ∧ Defender(x)) → (Professional(x) ∧ SoccerPlayer(x)))
∀x ((Professional(x) ∧ CenterBack(x)) → (Professional(x) ∧ Defender(x)))
∃x (Athlete(x) ∧ Professional(x) ∧ CenterBack(x))
Play(stephenCurry, professionalBasketball)",Stephen Curry is an athlete.,Athlete(stephenCurry),Uncertain,828,"∀x (ProSoccerPlayer(x) → ¬PlayBasketball(x))
∀x (ProSoccerDefender(x) → ProSoccerPlayer(x))
∀x (ProCenterBack(x) → ProSoccerDefender(x))
∃x (Athlete(x) ∧ ProCenterBack(x))
","

∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
ProfessionalBasketballPlayer(StephenCurry)"
1,324,"No professional soccer players play professional basketball.
All professional soccer defenders are professional soccer players.
All professional centerbacks are professional soccer defenders.
Some athletes are professional center-backs.
Stephen Curry plays professional basketball.","∀x ((Professional(x) ∧ SoccerPlayer(x)) → ¬Play(x, professionalBasketball))
∀x ((Professional(x) ∧ Defender(x)) → (Professional(x) ∧ SoccerPlayer(x)))
∀x ((Professional(x) ∧ CenterBack(x)) → (Professional(x) ∧ Defender(x)))
∃x (Athlete(x) ∧ Professional(x) ∧ CenterBack(x))
Play(stephenCurry, professionalBasketball)",Stephen Curry is an athlete and a professional centerback.,Athlete(stephenCurry) ∧ Professional(stephenCurry) ∧ CenterBack(stephenCurry),False,829,"∀x (SoccerPlayer(x) → ¬BasketballPlayer(x))  
∀x (Defender(x) → SoccerPlayer(x))  
∀x (Centerback(x) → Defender(x))  
∃x (Athlete(x) ∧ Centerback(x))  
","

∀x (ProfessionalSoccerPlayer(x) → ¬PlaysBasketball(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
PlaysBasketball(StephenCurry)"
2,324,"No professional soccer players play professional basketball.
All professional soccer defenders are professional soccer players.
All professional centerbacks are professional soccer defenders.
Some athletes are professional center-backs.
Stephen Curry plays professional basketball.","∀x ((Professional(x) ∧ SoccerPlayer(x)) → ¬Play(x, professionalBasketball))
∀x ((Professional(x) ∧ Defender(x)) → (Professional(x) ∧ SoccerPlayer(x)))
∀x ((Professional(x) ∧ CenterBack(x)) → (Professional(x) ∧ Defender(x)))
∃x (Athlete(x) ∧ Professional(x) ∧ CenterBack(x))
Play(stephenCurry, professionalBasketball)","If Stephen Curry is a professional centerback, then he is not an athlete.",(Professional(stephenCurry) ∧ CenterBack(stephenCurry)) → ¬Athlete(stephenCurry),True,830,"FOL Premises:
∃x (Athlete(x) ∧ CenterBack(x))
∀x (SoccerPlayer(x) → ¬BasketballPlayer(x))
∀x (Defender(x) → SoccerPlayer(x))
∀x (CenterBack(x) →","

∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
ProfessionalBasketballPlayer(sc)"
3,357,"If people join student government in high school, then they will have many opportunities to improve their communication skills.
If students stay alone in high school, then they will have have many opportunities to improve their communication skills.
People who want to gain leadership skills also join student government in high school.
If people are well-adjusted and engaged within their communities, then they are respected by the residents.
If people care about creating community, then they are well-adjusted and engaged within their communities.
If Tyler does not stay alone in high school, then Tyler has many opportunities to improve their communication skills.","∀x (Join(x, studentGovernment) → ManyOpportunityToImprove(x, communicationSkill))
∀x (StayAloneIn(x, highSchool)  → ¬ManyOpportunityToImprove(x, communicationSkill))
∀x (WantToLead(x) → JoinIn(x, studentGovernment, highSchool))
∀x (WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community) → RespectedBy(x, resident) )
∀x (CareAboutCreating(x, community) → WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community))
¬(JoinIn(tyler, studentGovernment, highSchool) ∧ CareAboutCreating(tyler, community)) → (¬ManyOpportunityToImprove(x, communicationSkill) ∧ ¬CareAboutCreating(tyler, community))",Tyler joined the student government in high school.,"JoinIn(tyler, studentGovernment, highSchool)",Uncertain,947,"∀x (SG(x) → Opportunity(x))  
∀x (Alone(x) → Opportunity(x))  
∀x (Leadership(x) → SG(x))  
∀x ((Well(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (Well(x) ∧ Engaged(x)))  
(¬Alone(T","

∀x (JoinStudentGovernment(x) → Opportunities(x))  
∀x (StayAlone(x) → Opportunities(x))  
∀x (WantLeadership(x) → JoinStudentGovernment(x))  
∀x (WellAdjusted(x) → Respected(x))  
∀x (CareCommunity(x) → WellAdjusted(x))  
¬StayAlone(Tyler) → Opportunities(Tyler)"
4,357,"If people join student government in high school, then they will have many opportunities to improve their communication skills.
If students stay alone in high school, then they will have have many opportunities to improve their communication skills.
People who want to gain leadership skills also join student government in high school.
If people are well-adjusted and engaged within their communities, then they are respected by the residents.
If people care about creating community, then they are well-adjusted and engaged within their communities.
If Tyler does not stay alone in high school, then Tyler has many opportunities to improve their communication skills.","∀x (Join(x, studentGovernment) → ManyOpportunityToImprove(x, communicationSkill))
∀x (StayAloneIn(x, highSchool)  → ¬ManyOpportunityToImprove(x, communicationSkill))
∀x (WantToLead(x) → JoinIn(x, studentGovernment, highSchool))
∀x (WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community) → RespectedBy(x, resident) )
∀x (CareAboutCreating(x, community) → WellAdjustedWithin(x, community) ∧ EngagedWithIn(x, community))
¬(JoinIn(tyler, studentGovernment, highSchool) ∧ CareAboutCreating(tyler, community)) → (¬ManyOpportunityToImprove(x, communicationSkill) ∧ ¬CareAboutCreating(tyler, community))","If Tyler either both stays alone in high school and is well-adjusted and engaged in their community, or neither stays alone in high school nor is well-adjusted and engaged in their community, then Tyler either both has many opportunities to improve their communication skills and stays alone in high school or neither has many opportunities to improve their communication skills nor stays alone in high school.","¬(StayAloneIn(tyler, highSchool) ⊕ (Well-adjustedWithin(x, community) ∧ EngagedWithIn(x, community))) → ¬(ManyOpportunityToImprove(tyler, communicationSkill) ⊕ StayAloneIn(tyler, highSchool))",True,948,"∀x (JoinSG(x) → ManyOpportunities(x))  
∀x (Student(x) ∧ StayAlone(x) → ManyOpportunities(x))  
∀x (WantLeadership(x) → JoinSG(x))  
∀x ((WellAdjusted(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (WellAdjusted(x) ∧ Engaged(x)))  
(¬StayAlone(tyler","

∀x (JoinSG(x) → Opportunities(x))  
∀x (StayAlone(x) → Opportunities(x))  
∀x (WantLeadership(x) → JoinSG(x))  
∀x ((WellAdjusted(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (WellAdjusted(x) ∧ Engaged(x)))  
¬StayAlone(Tyler) → Opportunities(Tyler)"
5,305,"All runners who ranked in the top 1000 in the Boston Marathon finished the marathon within 3 hours.
All runners from the Yale Running Club ranked in the top 1000 in the Boston Marathon.
All runners wearing T-shirts with the bulldog logo are from Yale Running Club.
Some of the runners wearing T-shirts with the bulldog logo are majoring in Computer Science
Tim is a runner and if Tim finishes the Boston Marathon within 3 hours, then he is not both from Yale Running Club and ranked in the top 1000 in the Boston Marathon. 
Tim is a runner and if Tim majors in computer science, then he is either wearing a T-shirt with the bulldog logo or is a runner from the Yale Running Club.","∀x (Runner(x) ∧ RankedIn(x, top1000, bostonMarathon) → FinishWithin(x, bostonMarathon, 3Hours))
∀x (Runner(x) ∧ From(x, yaleRunningClub) → RankedIn(x, top1000, bostonMarathon))
∀x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) → From(x, yaleRunningClub))
∃x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) ∧ MajorIn(x, computerScience))
Runner(tim) ∧ (FinishWithin(x, bostonMarathon, 3Hours) → ¬(From(tim, yaleRunningClub) ∧ RankedIn(tim, top1000, bostonMarathon)))
Runner(tim) ∧ (MajorIn(tim, computerScience) → (Wear(tim, tshirtsWithBulldogLogo) ⊕ From(tim, yaleRunningClub)))",Tim majors in computer science.,"MajorIn(tim, computerScience)",False,751,"FOL Premises:
∀x ((Runner(x) ∧ RankedTop1000(x)) → FinishedWithin3Hours(x)) :: All runners who ranked in the top 1000 in the Boston Marathon finished the marathon within 3 hours.  
∀x ((Runner(x) ∧ YaleClub(x)) → RankedTop1000(x)) :: All runners from the Yale Running Club ranked in the top 1000 in the Boston Marathon.  
∀x ((Runner(x) ∧ TShirtWithBulldog(x)) → YaleClub(x)) :: All runners wearing T‑shirts with the bulldog logo are from Yale Running Club.  
∃x (Runner(x) ∧ TShirtWithBulldog(x) ∧ MajorCS(x)) :: Some of the runners wearing T‑shirts with the bulldog logo are majoring in Computer Science.  
Runner(tim) ∧ (FinishedWithin3Hours(tim) → ¬(YaleClub(tim) ∧ RankedTop1000(tim))) :: Tim is a runner and if Tim finishes the Boston Marathon within 3 hours, then he is not both from Yale Running Club and ranked in the top 1000 in the Boston Marathon.  
Runner(tim) ∧ (MajorCS(tim) → (TShirtWithBulldog(tim) ∨ YaleClub(tim))) :: Tim is a runner and if Tim majors in computer science, then he is either wearing a T‑shirt with the bulldog logo or","

∀x ( (Runner(x) ∧ RankedTop1000(x)) → FinishedWithin3Hours(x) )  
∀x ( (Runner(x) ∧ FromYaleRunningClub(x)) → RankedTop1000(x) )  
∀x ( (Runner(x) ∧ WearsBulldogLogo(x)) → FromYaleRunningClub(x) )  
∃x ( Runner(x) ∧ WearsBulldogLogo(x) ∧ MajorsInCS(x) )  
Runner(Tim) ∧ ( FinishedWithin3Hours(Tim) → ¬(FromYaleRunningClub(Tim) ∧ RankedTop1000(Tim)) )  
Runner(Tim) ∧ ( MajorsInCS(Tim) → ( WearsBulldogLogo(Tim) ∨ FromYaleRunningClub(Tim) ) )"
6,305,"All runners who ranked in the top 1000 in the Boston Marathon finished the marathon within 3 hours.
All runners from the Yale Running Club ranked in the top 1000 in the Boston Marathon.
All runners wearing T-shirts with the bulldog logo are from Yale Running Club.
Some of the runners wearing T-shirts with the bulldog logo are majoring in Computer Science
Tim is a runner and if Tim finishes the Boston Marathon within 3 hours, then he is not both from Yale Running Club and ranked in the top 1000 in the Boston Marathon. 
Tim is a runner and if Tim majors in computer science, then he is either wearing a T-shirt with the bulldog logo or is a runner from the Yale Running Club.","∀x (Runner(x) ∧ RankedIn(x, top1000, bostonMarathon) → FinishWithin(x, bostonMarathon, 3Hours))
∀x (Runner(x) ∧ From(x, yaleRunningClub) → RankedIn(x, top1000, bostonMarathon))
∀x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) → From(x, yaleRunningClub))
∃x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) ∧ MajorIn(x, computerScience))
Runner(tim) ∧ (FinishWithin(x, bostonMarathon, 3Hours) → ¬(From(tim, yaleRunningClub) ∧ RankedIn(tim, top1000, bostonMarathon)))
Runner(tim) ∧ (MajorIn(tim, computerScience) → (Wear(tim, tshirtsWithBulldogLogo) ⊕ From(tim, yaleRunningClub)))",Tim is neither majoring in computer science nor is he from Yale Club Running.,"¬MajorIn(tim, computerScience) ∧ ¬From(tim, yaleRunningClub)",True,752,"∃x (Runner(x) ∧ WearsBulldog(x) ∧ MajorCS(x))  
∀x (Runner(x) ∧ Top1000(x) → FinishedWithin3(x))  
∀x (Runner(x) ∧ YaleClub(x) → Top1000(x))  
∀x (Runner(x) ∧ WearsBulldog(x) → YaleClub(x))  
Runner(tim) ∧ (FinishedWithin3(tim) → ¬(YaleClub(tim) ∧ Top1000(tim)))  
Runner(tim) ∧ (MajorCS(tim) → (WearsBulldog(t","

∀x (RankedTop1000(x) → FinishedWithin3Hours(x))  
∀x (FromYaleClub(x) → RankedTop1000(x))  
∀x (WearingBulldogTshirt(x) → FromYaleClub(x))  
∃x (WearingBulldogTshirt(x) ∧ MajorCS(x))  
Runner(Tim) ∧ (FinishedWithin3Hours(Tim) → ¬(FromYaleClub(Tim) ∧ RankedTop1000(Tim)))  
Runner(Tim) ∧ (MajorCS(Tim) → (WearingBulldogTshirt(Tim) ⊕ FromYaleClub(Tim)))"
7,305,"All runners who ranked in the top 1000 in the Boston Marathon finished the marathon within 3 hours.
All runners from the Yale Running Club ranked in the top 1000 in the Boston Marathon.
All runners wearing T-shirts with the bulldog logo are from Yale Running Club.
Some of the runners wearing T-shirts with the bulldog logo are majoring in Computer Science
Tim is a runner and if Tim finishes the Boston Marathon within 3 hours, then he is not both from Yale Running Club and ranked in the top 1000 in the Boston Marathon. 
Tim is a runner and if Tim majors in computer science, then he is either wearing a T-shirt with the bulldog logo or is a runner from the Yale Running Club.","∀x (Runner(x) ∧ RankedIn(x, top1000, bostonMarathon) → FinishWithin(x, bostonMarathon, 3Hours))
∀x (Runner(x) ∧ From(x, yaleRunningClub) → RankedIn(x, top1000, bostonMarathon))
∀x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) → From(x, yaleRunningClub))
∃x (Runner(x) ∧ Wear(x, tshirtsWithBulldogLogo) ∧ MajorIn(x, computerScience))
Runner(tim) ∧ (FinishWithin(x, bostonMarathon, 3Hours) → ¬(From(tim, yaleRunningClub) ∧ RankedIn(tim, top1000, bostonMarathon)))
Runner(tim) ∧ (MajorIn(tim, computerScience) → (Wear(tim, tshirtsWithBulldogLogo) ⊕ From(tim, yaleRunningClub)))",Tim finished the Boston Marathon within 3 hours.,"FinishWithin(tim, bostonMarathon, 3Hours)",Uncertain,753,"∀x ((Runner(x) ∧ Top1000(x)) → FinishedWithin3Hours(x)) ::: All runners who ranked in the top 1000 in the Boston Marathon finished the marathon within 3 hours.  
∀x ((Runner(x) ∧ YaleClub(x)) → Top1000(x)) ::: All runners from the Yale Running Club ranked in the top 1000 in the Boston Marathon.  
∀x ((Runner(x) ∧ TShirtBulldog(x)) → YaleClub(x)) ::: All runners wearing T-shirts with the bulldog logo are from Yale Running Club.  
∃x ((Runner(x) ∧ TShirtBulldog(x) ∧ MajoringCS(x))) ::: Some of the runners wearing T-shirts with the bulldog logo are majoring in Computer Science.  
Runner(Tim) ∧ (FinishedWithin3Hours(Tim) → ¬(YaleClub(Tim) ∧ Top1000(Tim))) ::: Tim is a runner and if Tim finishes the Boston Marathon within 3 hours, then he is not both from Yale Running Club and ranked in the top 1000 in the Boston Marathon.  
Runner(Tim) ∧ (MajoringCS(Tim) → (TShirtBulldog(Tim) ∨ YaleClub(Tim))) ::: Tim is a runner and if Tim majors in computer science, then he is either wearing a T-shirt with the bulldog logo or","

∀x ( (Runner(x) ∧ RankedTop1000(x)) → FinishedWithin3Hours(x) )  
∀x ( (Runner(x) ∧ YaleRunningClub(x)) → RankedTop1000(x) )  
∀x ( (Runner(x) ∧ WearsBulldogTShirt(x)) → YaleRunningClub(x) )  
∃x ( Runner(x) ∧ WearsBulldogTShirt(x) ∧ MajorsInCS(x) )  
Runner(Tim) ∧ ( FinishedWithin3Hours(Tim) → ¬(YaleRunningClub(Tim) ∧ RankedTop1000(Tim)) )  
Runner(Tim) ∧ ( MajorsInCS(Tim) → (WearsBulldogTShirt(Tim) ∨ YaleRunningClub(Tim)) )"
8,285,"No flower is noisy.
Roses are flowers.","∀x (Flower(x) → ¬Noisy(x))
∀x (Rose(x) → Flower(x))",Some roses are noisy.,∃x ∃y (Rose(x) ∧ Rose(y) ∧ Noisy(x) ∧ Noisy(y) ∧ ¬(x=y)),False,729,"∀x (Flower(x) → ¬Noisy(x))  
∀","

∀x (Flower(x) → ¬Noisy(x)) ∧ ∀x (Rose(x) → Flower(x))"
9,115,"An optical engineer studies science and studies engineering.
Someone who studies optical engineering is an optical engineer.
An optical engineer studies the generation, transmission, or detection of light.
Murphy is an optical engineer.","∀x (OpticalEngineer(x) → Study(x, science) ∧ Study(x, engineering))
∀x (Study(x, opticalEngineering) → OpticalEngineer(x))
∀x (OpticalEngineer(x) → Study(x, lightGeneration) ∨ Study(x, lightTransmission) ∨ Study(x, lightDetection))
OpticalEngineer(murphy)","Murphy doesn't study the generation, transmission, or detection of light.","¬Study(murphy, lightGeneration) ∧ ¬Study(murphy, lightTransmission) ∧ ¬Study(murphy, lightDetection)",False,347,"∀x (OpticalEngineer(x) → (StudiesScience(x) ∧ StudiesEngineering(x)))  
∀x (StudiesOpticalEngineering(x) → OpticalEngineer(x))  
∀x (OpticalEngineer(x) → StudiesLight(x","

∀x (Engineer(x) → (StudiesScience(x) ∧ StudiesEngineering(x)))  
∀x (StudiesOpticalEngineering(x) → Engineer(x))  
∀x (Engineer(x) → (StudiesGeneration(x) ∨ StudiesTransmission(x) ∨ StudiesDetection(x)))  
Engineer(Murphy)"
